Donor Name,Flow Type,Aid Type,Channel/ Receipient,Description,Amount
Algeria,International,Inkind,Various Recipients,in kind - Deployed 70 relief workers; Medicines and other supplies,0
Andorra,International,Cash,UN Agencies,To support the affected population,7500
Asian Development Bank,International,Cash,Various Recipients,resources for projects in the first phase of rehabilitation in the country.,200000000
Asian Development Bank,International,Cash,Various Recipients,"to address the most immediate needs, including the delivery of rescue and relief goods and materials to the badly shattered remote rural communities in the worst affected districts, and for improving sanitation in the relief camps in urban areas (such as tents, medical assistance, food and drinking water)",3000000
ASYA SAR - KYM,International,Cash,Various Recipients,"in kind - 8.7 tons of food packages distributed - Each package contains rice, lentil, potato, salt and cooking fat.",20962
Australia,International,Inkind,Various Recipients,"in kind - relief supplies in two C17 flights - contains 936 tarpaulins for 936 families, 1,200 blankets for 240 families, 746 hygiene kits for 746 families, water purification tablets for 1,000 families.",0
Australia,International,Cash,Various Recipients,Child and maternal health services; and sexual and reproductive health kits,38285
Australia,International,Cash,Australia RC,life-saving humanitarian support to Nepal,382848
Australia,International,Cash,RedR,to deploy Australian humanitarian experts to support United Nations operations,401606
Australia,International,Cash,Australia RC,life-saving humanitarian support to Nepal,401606
Australia,International,Cash,WHO,life-saving humanitarian support to Nepal - for medical supplies,765697
Australia,International,Cash,NGOs,life-saving humanitarian support to Nepal,1204819
Australia,International,Cash,NGOs,"life-saving humanitarian support to Nepal - Emergency relief for water, sanitation, child and maternal health and shelter",1914242
Australia,International,Cash,UN Agencies,life-saving humanitarian support to Nepal,2008032
Austria,International,Cash,IFRC,To support the affected population (NP.7.08.43/0001-VII.3/2015),541712
Azerbaijan,International,Inkind,Bilateral (affected government),"in kind - humanitarian aid to Nepal - one ton of medicine, medical supplies, tents, blankets and packaged drinking water.",0
Bangladesh,International,Inkind,Australia RC,"dispatched a BAF Lockheed C-130B aircraft with 10 tonnes of relief materials, including tents, dry food, water and blankets carrying a 34-member team consisting of 6 military medical teams and representatives of the Foreign Ministry",0
Belgium,International,Inkind,Various Recipients,relief team - USAR/B-FAST BEL-1,0
Bhutan,International,Inkind,Various Recipients,"relief team - 63-member Medical team, Disaster management/volunteer team, Logistical support team",0
Bhutan,International,Cash,Bilateral (affected government),"towards rehabilitation efforts - support to the governmentand people of Nepal, following the disastrous earthquake that struck the region on 25April.",1000000
Bill and Melinda Gates Foundation,International,Cash,ACT/LWR,to provide emergency relief to populations affected the devastating earthquake in Nepal.,300000
Bill and Melinda Gates Foundation,International,Cash,OXFAM GB,to provide emergency relief to populations affected the devastating earthquake in Nepal.,700000
Canada,International,Inkind,Various Recipients,relief team - Canadian Medical Assistance Teams (CMAT),0
Canada,International,Cash,OCHA,Strengthening Humanitarian Coordination and Advocacy in Nepal (OCT 4845),197628
Canada,International,Cash,OXFAM GB,Shelter and NFIs (D002515),237154
Canada,International,Cash,Samaritan's Purse,Shelter and NFIs (D002512),237154
Canada,International,Cash,CECI,Shelter and NFIs (D002516),316206
Canada,International,Cash,WVI,Emergency response to the Nepal earthquake. (D002518),355731
Canada,International,Cash,Global Medic,Emergency response to the Nepal earthquake. (D002517),474308
Canada,International,Cash,CARE Nepal,Shelter and NFIs (D002513),474308
Canada,International,Cash,SC,Shelter and NFIs (D002514),481348
Canada,International,Cash,IFRC,Emergency response to the Nepal earthquake. (D002522),600000
Canada,International,Cash,Canada RC,Emergency response to the Nepal earthquake - Basic health care unit (D002519),790514
Canada,International,Cash,WFP,Humanitarian air services (D002549),790514
Canada,International,Cash,UNICEF,Emergency response to the Nepal earthquake. (D002547),988142
Canada,International,Cash,WFP,Food assistance (D002548),1976285
Central Emergency Response Fund,International,Cash,UN Agencies,to enable humanitarian aid organizations to rapidly scale up operations and provide immediate assistance to people in desperate need.,6069711
Central Emergency Response Fund,International,Cash,UNFPA,Ensuring protection of earthquake affected women and children in Nepal,254125
Central Emergency Response Fund,International,Cash,UNICEF,Ensuring protection of earthquake affected women and children in Nepal,255195
Central Emergency Response Fund,International,Cash,WFP,Provision of Humanitarian Air Services and Logistics Augmentation in Nepal,2000000
Central Emergency Response Fund,International,Cash,WFP,Emergency Food Assistance to Populations Affected by Earthquake in Nepal,2920199
Central Emergency Response Fund,International,Cash,UNICEF,"Increasing access to Water, Sanitation and Hygiene for earthquake affected population in Nepal",3500770
China,International,Inkind,Various Recipients,"Rescue, medical and relief - 170-member team - from 26-27 April",0
China,International,Cash,Various Recipients,"in kind - contribution including tents and blankets, generator, medical supplies and water purification equipment",9678980
Czech Republic,International,Cash,Bilateral (affected government),Urgent medical assistance (102703/2015-ORS),806127
Denmark,International,Cash,Various Recipients,in kind - Dispatched 8 experts and equipment to set up communication and coordination centres including operational coordination centre (OSOCC); 3 light base modules; 4 ICT modules,288000
Denmark,International,Cash,NGOs; Red Cross/Red Crescent,Emergency aid to affected population,550000
Denmark,International,Cash,CARITAS,Emergency aid to affected population,144000
Denmark,International,Cash,SC,Emergency aid to affected population,108000
Denmark,International,Cash,ME,Emergency aid to affected population,72000
Denmark,International,Cash,ACT/DCA,Emergency aid to affected population,288000
Estonia,International,Inkind,Various Recipients,relief team - USAR,0
Estonia,International,Cash,WHO,life-saving humanitarian support to Nepal,54171
European Commission,International,Inkind,Various Recipients,"in kind - sent 5 TAs, 1 ERCC Liaison",0
European Commission's Humanitarian Aid and Civil Protection Department,International,Cash,Various Recipients,"immediate response to the vast devastation caused by the earthquake that hit Nepal - to help address the most urgent needs: clean water, food, medicine, emergency shelter and telecommunication.",6637168
Finland,International,Inkind,Various Recipients,relief team - USAR,0
Finland,International,Cash,NGOs; Red Cross/Red Crescent,Pledge for humanitarian assistance,2166847
France,International,Inkind,Various Recipients,relief team - USAR/PUI FRANCE01; Water/Sanitation (FRA03WP),0
France,International,Inkind,Bilateral (affected government),"in kind - 50 tons of in-kind aid (mainly food, medical aid, WASH and nutritional aid); Water Purification Module; 150 tents",0
Germany,International,Cash,OCHA,Strengthening Humanitarian Coordination and Advocacy in Nepal (OCT 4846),541712
Germany,International,Inkind,Various Recipients,"relief team - USAR/I.S.A.R. Germany - a team of 52 German relief workers – including physicians, expert searchers, and multiple dog squads",0
Germany,International,Inkind,Various Recipients,In-kind - 35 tons Water Purification Module,0
Germany,International,Cash,Various Recipients,to support the relief efforts in Nepal following the Earthquake in April 2015 (AA-S05 321.50 NPL),2708559
Greece,International,Inkind,Bilateral (affected government),in kind - Medium SAR Team,0
Hungary,International,Cash,Various Recipients,relief team - USAR and medical coordination,19500
India,International,Inkind,Various Recipients,"humanitarian relief and rescue operation—Operation Maitri:- several aircraft, carrying medical supplies, and a mobile hospital;- Deployed 10 NDRF teams (450 people including 90 NDRF personnel internationally trained in search-and-rescue) - an engineering task force, 18 medical units, and six medical teams; - The trucks from Uttar Pradesh carried medical supplies and a team of 41 medical and paramedical staff; An alternative means of getting in relief material, the land route, has been made operational now; - One Unmanned Aerial Vehicle is also on the way;- Communication experts - restore the broken communication system - Indian Army deployed; 10 Inmarsat systems for satellite communications. 250 high frequency wireless sets were sent to coordinate rescue and relief work;- team of power officials and officials from the Indian Oil Corporation restore electricity and fuel in Kathmandu.",0
India,International,Cash,Various Recipients,"in kind - 22 tonnes of food, two tonnes of medical supplies, 50 tonnes of water,10 tonnes of blankets, medial supplies and other relief material",5000000
Indonesia,International,Cash,Bilateral (affected government),"in-kind - emergency kits, tents, food, medical supplies, sanitation kits",1000000
Ireland,International,Cash,Christian Aid,To save lives and alleviate suffering (CAID ERFS 2015),81257
Ireland,International,Cash,WVI,To save lives and alleviate suffering (WOV ERFS 2015),86132
Ireland,International,Cash,Plan Ireland,To save lives and alleviate suffering (PLAN ERFS 2015),108342
Ireland,International,Cash,Plan Nepal,"To save lives and alleviate suffering - Tents, tarpaulins, blankets, jerry cans, water tanks, soap, kitchen sets, (UNHRD)",541712
